seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12866,2024,"2024-25 AFC Champions League Elite, Quarterfinals",quarterfinals,3902,AFC.CHAMPIONS,AFC Champions League Elite,AFC Champions League Elite
12868,2024,"2024-25 AFC Champions League Elite, League Stage",league-stage,3902,AFC.CHAMPIONS,AFC Champions League Elite,AFC Champions League Elite
12867,2024,"2024-25 AFC Champions League Elite, Round of 16",round-of-16,3902,AFC.CHAMPIONS,AFC Champions League Elite,AFC Champions League Elite
12865,2024,"2024-25 AFC Champions League Elite, Semifinals",semifinals,3902,AFC.CHAMPIONS,AFC Champions League Elite,AFC Champions League Elite
12864,2024,"2024-25 AFC Champions League Elite, Final",final,3902,AFC.CHAMPIONS,AFC Champions League Elite,AFC Champions League Elite
12870,2024,"2024-25 AFC Champions League Two, Final",final,5661,AFC.CUP,AFC Champions League Two,AFC Champions League Two
12874,2024,"2024-25 AFC Champions League Two, Group Stage",group-stage,5661,AFC.CUP,AFC Champions League Two,AFC Champions League Two
12873,2024,"2024-25 AFC Champions League Two, Round of 16",round-of-16,5661,AFC.CUP,AFC Champions League Two,AFC Champions League Two
12872,2024,"2024-25 AFC Champions League Two, Quarterfinals",quarterfinals,5661,AFC.CUP,AFC Champions League Two,AFC Champions League Two
12871,2024,"2024-25 AFC Champions League Two, Semifinals",semifinals,5661,AFC.CUP,AFC Champions League Two,AFC Champions League Two
12746,2024,"2027 AFC Asian Cup Qualifiers, Playoff Round",playoff-round,5662,AFC.CUPQ,AFC Asian Cup Qualifiers,Asian Cup Qualifiers
12745,2024,"2027 AFC Asian Cup Qualifiers, Group Stage",group-stage,5662,AFC.CUPQ,AFC Asian Cup Qualifiers,Asian Cup Qualifiers
12570,2024,"2024 ASEAN Championship, Finals",finals,5672,AFF.CHAMPIONSHIP,ASEAN Championship,ASEAN Champ
12572,2024,"2024 ASEAN Championship, Group Stage",group-stage,5672,AFF.CHAMPIONSHIP,ASEAN Championship,ASEAN Champ
12571,2024,"2024 ASEAN Championship, Semifinals",semifinals,5672,AFF.CHAMPIONSHIP,ASEAN Championship,ASEAN Champ
12370,2024,2024 Argentine Liga Profesional,2024-argentine-liga-profesional,745,ARG.1,Argentine Liga Profesional de Fútbol,Argentine LPF
12387,2024,"2024 Argentine Nacional B, 2024 Argentine Nacional B - Championship Final",2024-argentine-nacional-b---championship-final,3903,ARG.2,Argentine Nacional B,Argentine Nacional B
12388,2024,"2024 Argentine Nacional B, Relegation Playoff",relegation-playoff,3903,ARG.2,Argentine Nacional B,Argentine Nacional B
12394,2024,"2024 Argentine Nacional B, Regular Season",regular-season,3903,ARG.2,Argentine Nacional B,Argentine Nacional B
12393,2024,"2024 Argentine Nacional B, Torneo Reducido - First Round",torneo-reducido---first-round,3903,ARG.2,Argentine Nacional B,Argentine Nacional B
12392,2024,"2024 Argentine Nacional B, Torneo Reducido - Quarterfinals",torneo-reducido---quarterfinals,3903,ARG.2,Argentine Nacional B,Argentine Nacional B
12391,2024,"2024 Argentine Nacional B, Torneo Reducido - Semifinals",torneo-reducido---semifinals,3903,ARG.2,Argentine Nacional B,Argentine Nacional B
