teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
2,Almagro,Almagro,ALM,Almagro,Almagro ,212121,000000,https://a.espncdn.com/i/teamlogos/soccer/500/2.png,6130,arg.almagro
3,Argentinos Juniors,Argentinos Juniors,ARGJ,Argentinos Juniors,Argentinos ,C60000,0060f0,https://a.espncdn.com/i/teamlogos/soccer/500/3.png,2652,arg.argentinos_juniors
4,Belgrano (Córdoba),Belgrano (Córdoba),BEL,Belgrano (Córdoba),Belgrano ,0060f0,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/4.png,2736,arg.belgrano_de_cordoba
5,Boca Juniors,Boca Juniors,CABJ,Boca Juniors,Boca ,fcb000,0060f0,https://a.espncdn.com/i/teamlogos/soccer/500/5.png,5348,arg.boca_juniors
6,Chacarita Juniors,Chacarita Juniors,CHA,Chacarita Juniors,Chacarita ,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/6.png,6079,arg.chacarita_juniors
7,Colón (Santa Fe),Colón (Santa Fe),COL,Colón (Santa Fe),Colón SF,370000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/7.png,5360,arg.colon_de_santa_fe
8,Estudiantes de La Plata,Estudiantes de La Plata,EST,Estudiantes de La Plata,Estudiantes,C60000,288A00,https://a.espncdn.com/i/teamlogos/soccer/500/8.png,8303,arg.estudiantes_la_plata
9,Gimnasia La Plata,Gimnasia La Plata,GLP,Gimnasia La Plata,Gimnasia LP,288A00,0060f0,https://a.espncdn.com/i/teamlogos/soccer/500/9.png,1731,arg.gimnasia_la_plata
10,Huracán,Huracán,HUR,Huracán,Huracán ,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/10.png,5565,arg.huracan
11,Independiente,Independiente,IND,Independiente,Independiente,C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/11.png,5555,arg.independiente
12,Lanús,Lanús,LAN,Lanús,Lanús ,9f0000,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/12.png,5356,arg.lanus
13,Los Andes,Los Andes,AND,Los Andes,Los Andes ,b50202,000000,https://a.espncdn.com/i/teamlogos/soccer/500/13.png,3322,arg.los_andes
14,Newell's Old Boys,Newell's Old Boys,NOB,Newell's Old Boys,Newell's,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/14.png,5350,arg.newells_old_boys
15,Racing Club,Racing Club,RAC,Racing Club,Racing ,409fff,000000,https://a.espncdn.com/i/teamlogos/soccer/500/15.png,5349,arg.racing_club
16,River Plate,River Plate,RIV,River Plate,River Plate,C60000,792DCD,https://a.espncdn.com/i/teamlogos/soccer/500/16.png,4217,arg.river_plate
17,Rosario Central,Rosario Central,ROS,Rosario Central,Rosario Central,ffff00,792DCD,https://a.espncdn.com/i/teamlogos/soccer/500/17.png,5359,arg.rosario_central
18,San Lorenzo,San Lorenzo,SLO,San Lorenzo,San Lorenzo ,0060f0,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18.png,2964,arg.san_lorenzo
19,Talleres (Córdoba),Talleres (Córdoba),TALL,Talleres (Córdoba),Talleres ,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/19.png,4623,arg.talleres_de_cordoba
20,Unión (Santa Fe),Unión (Santa Fe),USF,Unión (Santa Fe),Unión (SF),C60000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/20.png,5549,arg.union_de_santa_fe
21,Vélez Sarsfield,Vélez Sarsfield,VEL,Vélez Sarsfield,Vélez ,0070b0,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/21.png,5352,arg.velez_sarsfield
83,Barcelona,Barcelona,BAR,Barcelona,Barcelona,00529f,2f2f2f,https://a.espncdn.com/i/teamlogos/soccer/500/83.png,1632,esp.barcelona
84,Mallorca,Mallorca,MLL,Mallorca,Mallorca,C8142F,ccff00,https://a.espncdn.com/i/teamlogos/soccer/500/84.png,1631,esp.mallorca
85,Celta Vigo,Celta Vigo,CEL,Celta Vigo,Celta Vigo,6cace4,004996,https://a.espncdn.com/i/teamlogos/soccer/500/85.png,1771,esp.celta_vigo
86,Real Madrid,Real Madrid,RMA,Real Madrid,Real Madrid,ffffff,f28800,https://a.espncdn.com/i/teamlogos/soccer/500/86.png,1568,esp.real_madrid
87,Racing Santander,Racing Santander,RAC,Racing Santander,Racing,3B6C1A,0EB214,https://a.espncdn.com/i/teamlogos/soccer/500/87.png,1629,esp.racing_santander
88,Espanyol,Espanyol,ESP,Espanyol,Espanyol,3366CC,C8142F,https://a.espncdn.com/i/teamlogos/soccer/500/88.png,4159,esp.espanyol
89,Real Sociedad,Real Sociedad,RSO,Real Sociedad,Real Sociedad,3366CC,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/89.png,1626,esp.real_sociedad
90,Deportivo La Coruña,Deportivo La Coruña,DEP,Deportivo La Coruña,Deportivo,3366CC,b9e8f0,https://a.espncdn.com/i/teamlogos/soccer/500/90.png,1633,esp.deportivo_coruna
91,Real Zaragoza,Real Zaragoza,ZAR,Real Zaragoza,Real Zaragoza,000099,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/91.png,1634,esp.real_zaragoza
92,Real Oviedo,Real Oviedo,OVI,Real Oviedo,Real Oviedo,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/92.png,5998,esp.real_oviedo
93,Athletic Club,Athletic Club,ATH,Athletic Club,Athletic,C8142F,0000ff,https://a.espncdn.com/i/teamlogos/soccer/500/93.png,2218,esp.athletic_club
94,Valencia,Valencia,VAL,Valencia,Valencia,ffffff,004996,https://a.espncdn.com/i/teamlogos/soccer/500/94.png,1635,esp.valencia
95,Real Valladolid,Real Valladolid,VLL,Real Valladolid,Valladolid,7a2d9d,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/95.png,3025,esp.valladolid
96,Alavés,Alavés,ALA,Alavés,Alavés,0000ff,c3c3c3,https://a.espncdn.com/i/teamlogos/soccer/500/96.png,1772,esp.alaves
97,Osasuna,Osasuna,OSA,Osasuna,Osasuna,cd0000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/97.png,1565,esp.osasuna
98,Las Palmas,Las Palmas,LPA,Las Palmas,Las Palmas,ffff00,3366CC,https://a.espncdn.com/i/teamlogos/soccer/500/98.png,4024,esp.las_palmas
99,Málaga,Málaga,MCF,Málaga,Málaga,b9e8f0,ffff00,https://a.espncdn.com/i/teamlogos/soccer/500/99.png,1627,esp.malaga
