teamId,League,Rank,Team,Form,Average_Points,Games,Wins,Ties,Losses,Points,Goal_for,Goal_against,Goal_difference
364,ENG1,1,Liverpool,medium,2.31,36,25,8,3,83,83,37,46
359,ENG1,2,Arsenal,medium,1.89,36,18,14,4,68,66,33,33
361,ENG1,3,Newcastle United,high,1.83,36,20,6,10,66,68,45,23
363,ENG1,4,Chelsea,high,1.78,37,19,9,9,66,63,43,20
362,ENG1,5,Aston Villa,high,1.78,37,19,9,9,66,58,49,9
382,ENG1,6,Manchester City,high,1.81,36,19,8,9,65,67,43,24
393,ENG1,7,Nottingham Forest,low,1.72,36,18,8,10,62,56,44,12
337,ENG1,8,Brentford,high,1.53,36,16,7,13,55,63,53,10
331,ENG1,9,Brighton & Hove Albion,medium,1.53,36,14,13,9,55,59,56,3
349,ENG1,10,AFC Bournemouth,medium,1.47,36,14,11,11,53,55,43,12
370,ENG1,11,Fulham,low,1.42,36,14,9,13,51,51,50,1
384,ENG1,12,Crystal Palace,medium,1.36,36,12,13,11,49,46,48,-2
368,ENG1,13,Everton,medium,1.17,36,9,15,12,42,39,44,-5
380,ENG1,14,Wolverhampton Wanderers,medium,1.14,36,12,5,19,41,51,64,-13
371,ENG1,15,West Ham United,medium,1.11,36,10,10,16,40,42,59,-17
360,ENG1,16,Manchester United,low,1.05,37,10,9,18,39,42,54,-12
367,ENG1,17,Tottenham Hotspur,low,1.03,37,11,5,21,38,63,61,2
373,ENG1,18,Ipswich Town,low,0.61,36,4,10,22,22,35,77,-42
375,ENG1,19,Leicester City,medium,0.61,36,5,7,24,22,31,78,-47
376,ENG1,20,Southampton,low,0.33,36,2,6,28,12,25,82,-57
83,ESP1,1,Barcelona,high,2.36,36,27,4,5,85,97,36,61
86,ESP1,2,Real Madrid,high,2.17,36,24,6,6,78,74,38,36
1068,ESP1,3,Atlético Madrid,medium,1.94,36,20,10,6,70,60,29,31
93,ESP1,4,Athletic Club,high,1.86,36,18,13,5,67,53,26,27
102,ESP1,5,Villarreal,high,1.78,36,18,10,8,64,64,47,17
244,ESP1,6,Real Betis,medium,1.64,36,16,11,9,59,55,45,10
85,ESP1,7,Celta Vigo,high,1.44,36,15,7,14,52,56,54,2
101,ESP1,8,Rayo Vallecano,medium,1.33,36,12,12,12,48,39,44,-5
97,ESP1,9,Osasuna,medium,1.33,36,11,15,10,48,45,51,-6
84,ESP1,10,Mallorca,low,1.31,36,13,8,15,47,34,42,-8
94,ESP1,11,Valencia,medium,1.25,36,11,12,13,45,43,52,-9
89,ESP1,12,Real Sociedad,low,1.19,36,12,7,17,43,32,42,-10
9812,ESP1,13,Girona,medium,1.14,36,11,8,17,41,42,53,-11
243,ESP1,14,Sevilla,medium,1.14,36,10,11,15,41,40,49,-9
2922,ESP1,15,Getafe,low,1.08,36,10,9,17,39,31,36,-5
88,ESP1,16,Espanyol,low,1.08,36,10,9,17,39,38,49,-11
96,ESP1,17,Alavés,medium,1.06,36,9,11,16,38,36,47,-11
17534,ESP1,18,Leganés,medium,0.94,36,7,13,16,34,35,56,-21
98,ESP1,19,Las Palmas,low,0.89,36,8,8,20,32,40,58,-18
95,ESP1,20,Real Valladolid,low,0.44,36,4,4,28,16,26,86,-60
132,GER1,1,Bayern Munich,high,2.39,33,24,7,2,79,95,32,63
131,GER1,2,Bayer Leverkusen,medium,2.06,33,19,11,3,68,70,41,29
125,GER1,3,Eintracht Frankfurt,medium,1.73,33,16,9,8,57,65,45,20
126,GER1,4,SC Freiburg,high,1.67,33,16,7,10,55,48,50,-2
124,GER1,5,Borussia Dortmund,high,1.64,33,16,6,11,54,68,51,17
2950,GER1,6,Mainz,medium,1.55,33,14,9,10,51,53,41,12
11420,GER1,7,RB Leipzig,medium,1.55,33,13,12,8,51,51,45,6
137,GER1,8,Werder Bremen,medium,1.45,33,13,9,11,48,50,56,-6
134,GER1,9,VfB Stuttgart,medium,1.42,33,13,8,12,47,61,51,10
268,GER1,10,Borussia Monchengladbach,low,1.36,33,13,6,14,45,55,56,-1
3841,GER1,11,FC Augsburg,low,1.3,33,11,10,12,43,34,49,-15
138,GER1,12,VfL Wolfsburg,low,1.21,33,10,10,13,40,55,54,1
598,GER1,13,1. FC Union Berlin,low,1.12,33,9,10,14,37,33,50,-17
270,GER1,14,St. Pauli,medium,0.97,33,8,8,17,32,28,39,-11
7911,GER1,15,TSG Hoffenheim,low,0.97,33,7,11,15,32,46,64,-18
6418,GER1,16,1. FC Heidenheim 1846,medium,0.88,33,8,5,20,29,36,60,-24
7884,GER1,17,Holstein Kiel,medium,0.76,33,6,7,20,25,49,77,-28
121,GER1,18,VfL Bochum,low,0.67,33,5,7,21,22,31,67,-36
114,ITA1,1,Napoli,high,2.17,36,23,9,4,78,57,27,30
110,ITA1,2,Internazionale,medium,2.14,36,23,8,5,77,75,33,42
105,ITA1,3,Atalanta,high,1.97,36,21,8,7,71,73,32,41
111,ITA1,4,Juventus,medium,1.78,36,16,16,4,64,53,33,20
112,ITA1,5,Lazio,medium,1.78,36,18,10,8,64,59,46,13
104,ITA1,6,AS Roma,medium,1.75,36,18,9,9,63,51,34,17
107,ITA1,7,Bologna,low,1.72,36,16,14,6,62,54,41,13
103,ITA1,8,AC Milan,high,1.67,36,17,9,10,60,58,40,18
109,ITA1,9,Fiorentina,medium,1.64,36,17,8,11,59,54,37,17
2572,ITA1,10,Como,high,1.33,36,13,9,14,48,48,49,-1
239,ITA1,11,Torino,low,1.22,36,10,14,12,44,39,42,-3
118,ITA1,12,Udinese,low,1.22,36,12,8,16,44,39,51,-12
3263,ITA1,13,Genoa,low,1.11,36,9,13,14,40,32,45,-13
2925,ITA1,14,Cagliari,low,0.92,36,8,9,19,33,37,54,-17
119,ITA1,15,Hellas Verona,low,0.92,36,9,6,21,33,31,64,-33
115,ITA1,16,Parma,low,0.89,36,6,14,16,32,41,56,-15
17530,ITA1,17,Venezia,medium,0.81,36,5,14,17,29,30,50,-20
113,ITA1,18,Lecce,low,0.78,36,6,10,20,28,25,58,-33
2574,ITA1,19,Empoli,medium,0.78,36,5,13,18,28,29,56,-27
4007,ITA1,20,Monza,low,0.5,36,3,9,24,18,27,64,-37
